Unnamed: 0,age,Gender,Department,employment status,Years of experience,Work environment,Do you often feel overwhelmed by your workload?,Is your workload generally manageable?,Do you frequently work beyond your scheduled hours?,Do you feel supported by your manager and team?,Are you satisfied with the resources and help available at work?,Do you often feel isolated when dealing with work challenges?,Do you frequently think about work in your personal time?,Do you feel you have a healthy work-life balance?,Does your work often interfere with personal or family time?,Do you regularly feel physically or emotionally exhausted?,"Do you experience symptoms like sleep issues, anxiety, or low mood?",Do you regularly engage in physical or leisure activities?,How do you feel?
1233,21-30,male,Other,contract,less than 1 year,remote,5,4,1,5,5,2,4,4,3,3,4,3,Healthy
1234,21-30,male,IT Services,part-time,11-15,hybrid,4,3,5,5,5,4,4,2,1,3,2,4,Mildly Stressed
1235,51-60,male,Software development,contract,6-10,hybrid,2,3,2,4,4,2,4,5,1,3,1,3,Healthy
1236,under 20,male,Other,full-time,11-15,hybrid,4,2,1,1,1,4,3,4,3,1,3,2,Mildly Stressed
1237,under 20,male,Software development,contract,11-15,Office-based,2,4,5,1,5,2,4,3,2,1,1,4,Healthy
1238,under 20,male,IT Services,full-time,11-15,hybrid,5,5,2,4,5,1,4,2,3,3,4,3,Mildly Stressed
1239,under 20,female,Hardware engineering,contract,less than 1 year,Office-based,2,1,1,3,3,3,4,5,3,2,1,5,Healthy
1240,under 20,male,Cyber Security,contract,16-20,Office-based,4,2,5,3,4,2,2,3,4,3,3,5,Mildly Stressed
1241,51-60,male,Software development,full-time,6-10,Office-based,3,1,4,2,5,3,4,4,3,4,1,5,Mildly Stressed
1242,31-40,female,IT Services,contract,1-5,Office-based,1,1,2,1,5,5,1,2,2,1,3,4,Healthy
1243,21-30,female,Other,contract,16-20,remote,1,4,4,1,5,2,4,5,1,4,1,5,Healthy
1244,under 20,male,Software development,contract,less than 1 year,hybrid,3,5,3,4,5,1,4,3,5,4,5,1,Mildly Stressed
1245,31-40,female,Software development,part-time,11-15,Office-based,1,1,5,4,1,4,3,2,3,1,4,2,Highly Stressed
1246,31-40,male,Cyber Security,full-time,1-5,hybrid,5,1,5,3,2,1,4,4,3,3,3,3,Mildly Stressed
1247,21-30,female,IT Services,contract,6-10,Office-based,5,2,2,1,3,3,2,5,4,5,4,1,Highly Stressed
1248,51-60,male,Hardware engineering,full-time,16-20,remote,4,5,5,1,1,4,5,2,4,4,5,4,Burned Out
1249,41-50,female,Other,full-time,16-20,Office-based,4,5,3,5,3,1,4,4,3,3,1,3,Healthy
1250,41-50,female,IT Services,full-time,1-5,hybrid,2,1,5,2,5,1,4,4,3,5,4,3,Mildly Stressed
1251,31-40,male,Other,contract,less than 1 year,hybrid,4,5,1,2,3,1,4,3,2,4,1,5,Healthy
1252,21-30,male,Software development,contract,6-10,remote,5,2,4,3,4,4,3,4,1,3,1,3,Mildly Stressed
1253,41-50,male,Cyber Security,full-time,1-5,hybrid,4,2,3,1,4,1,5,4,1,4,4,3,Mildly Stressed
1254,31-40,male,Cyber Security,part-time,11-15,hybrid,1,2,3,5,2,1,3,1,5,3,3,2,Mildly Stressed
1255,51-60,male,Hardware engineering,full-time,6-10,Office-based,2,4,4,1,2,3,3,4,1,2,3,4,Healthy
1256,41-50,female,Cyber Security,part-time,16-20,hybrid,2,1,4,4,3,1,3,5,5,2,4,1,Mildly Stressed
1257,31-40,male,Software development,full-time,1-5,Office-based,5,5,3,3,1,1,2,2,4,1,3,5,Healthy
1258,31-40,male,Hardware engineering,full-time,16-20,remote,4,2,4,2,1,5,5,5,5,5,2,2,Burned Out
1259,under 20,female,IT Services,full-time,16-20,hybrid,1,1,2,1,5,4,2,5,5,4,1,1,Mildly Stressed
1260,51-60,female,Cyber Security,contract,16-20,Office-based,4,1,4,3,1,5,2,3,1,4,4,1,Highly Stressed
1261,under 20,male,Hardware engineering,part-time,less than 1 year,hybrid,3,4,1,2,2,3,5,1,3,3,5,2,Highly Stressed
1262,21-30,female,Software development,part-time,16-20,Office-based,4,5,1,1,1,5,2,1,4,5,4,5,Highly Stressed
1263,under 20,female,Other,full-time,11-15,remote,5,5,2,5,5,2,5,5,2,4,4,4,Healthy
1264,under 20,male,Other,contract,11-15,Office-based,4,2,4,3,4,4,4,2,5,5,1,2,Highly Stressed
1265,41-50,female,Software development,contract,6-10,hybrid,2,2,1,1,1,1,3,1,5,5,5,2,Highly Stressed
1266,31-40,female,Software development,part-time,16-20,Office-based,1,1,5,2,1,5,2,1,5,2,1,2,Highly Stressed
1267,51-60,male,Other,contract,16-20,hybrid,5,5,4,2,2,5,5,5,3,4,3,5,Highly Stressed
1268,under 20,male,Hardware engineering,part-time,1-5,remote,3,5,2,5,3,1,1,1,2,4,4,2,Healthy
1269,51-60,female,Other,part-time,less than 1 year,Office-based,1,2,4,3,4,1,2,3,1,1,1,2,Healthy
1270,under 20,female,Software development,part-time,6-10,hybrid,1,3,3,3,3,3,2,5,4,5,2,3,Mildly Stressed
1271,21-30,male,Cyber Security,contract,16-20,hybrid,2,1,3,1,5,5,5,1,3,3,4,3,Highly Stressed
1272,under 20,female,IT Services,part-time,1-5,hybrid,2,5,1,2,5,5,1,1,2,2,3,3,Healthy
1273,41-50,female,Cyber Security,part-time,less than 1 year,Office-based,2,4,3,2,3,2,1,1,4,1,1,3,Healthy
1274,31-40,female,Cyber Security,full-time,6-10,Office-based,5,4,2,5,2,2,4,5,1,2,1,2,Healthy
1275,21-30,male,Software development,part-time,6-10,Office-based,4,3,1,5,2,5,2,2,4,3,2,3,Mildly Stressed
1276,under 20,female,Other,part-time,16-20,remote,1,2,2,3,2,2,3,4,5,1,3,1,Mildly Stressed
1277,51-60,female,Hardware engineering,full-time,6-10,hybrid,4,2,2,2,4,5,2,1,5,2,2,4,Highly Stressed
1278,21-30,male,Cyber Security,full-time,1-5,hybrid,4,2,3,1,5,4,3,4,3,3,4,3,Mildly Stressed
1279,21-30,female,Other,contract,6-10,remote,2,4,3,4,5,3,3,4,4,1,5,5,Healthy
1280,under 20,female,Hardware engineering,part-time,11-15,remote,4,2,2,1,5,2,5,1,5,3,1,4,Mildly Stressed
1281,21-30,male,Cyber Security,contract,1-5,Office-based,1,4,3,5,4,5,2,1,3,1,2,1,Healthy
1282,51-60,male,Hardware engineering,contract,less than 1 year,Office-based,1,3,3,1,5,2,5,4,3,4,1,4,Healthy
1283,21-30,male,Other,full-time,less than 1 year,Office-based,3,1,3,2,3,3,4,2,3,4,1,4,Mildly Stressed
1284,51-60,male,IT Services,contract,16-20,Office-based,5,5,4,3,1,4,3,4,1,2,2,1,Mildly Stressed
1285,under 20,female,Other,part-time,16-20,Office-based,4,3,2,4,4,1,1,2,5,5,1,3,Mildly Stressed
1286,31-40,female,Software development,full-time,11-15,Office-based,5,4,5,3,1,1,3,3,5,5,3,1,Burned out
1287,21-30,male,Hardware engineering,part-time,less than 1 year,remote,5,3,2,4,3,2,4,2,2,3,3,5,Mildly Stressed
1288,31-40,male,IT Services,part-time,less than 1 year,remote,5,5,1,4,2,5,3,5,1,1,5,1,Healthy
1289,51-60,female,Hardware engineering,full-time,less than 1 year,remote,5,1,3,2,2,3,5,1,5,4,3,2,Burned Out
1290,21-30,male,Hardware engineering,part-time,less than 1 year,hybrid,1,5,3,2,2,4,2,3,5,5,2,2,Mildly Stressed
1291,41-50,female,Cyber Security,full-time,6-10,hybrid,4,4,5,5,4,4,1,4,2,4,3,4,Healthy
1292,31-40,male,Software development,part-time,1-5,Office-based,3,5,1,5,2,4,5,2,4,3,5,3,Mildly Stressed
1293,21-30,female,Hardware engineering,full-time,1-5,remote,5,3,4,4,4,1,2,3,4,3,4,3,Mildly Stressed
1294,31-40,male,Other,contract,11-15,hybrid,3,2,2,5,4,3,1,5,1,1,4,2,Healthy
1295,21-30,male,Other,part-time,6-10,hybrid,1,3,4,2,1,1,4,2,3,5,2,5,Mildly Stressed
1296,under 20,female,Cyber Security,full-time,less than 1 year,remote,1,4,1,5,2,2,3,4,2,3,5,1,Healthy
1297,31-40,male,Software development,part-time,less than 1 year,hybrid,2,1,5,4,5,4,1,4,2,3,3,1,Mildly Stressed
1298,41-50,female,Software development,part-time,16-20,hybrid,5,5,1,3,2,3,4,2,5,4,5,1,Highly Stressed
1299,41-50,female,Other,part-time,16-20,remote,2,1,5,1,2,4,2,5,5,2,1,5,Mildly Stressed
1300,51-60,female,IT Services,full-time,11-15,hybrid,3,4,4,5,2,1,1,1,2,5,5,5,Mildly Stressed
1301,21-30,female,Cyber Security,contract,less than 1 year,remote,4,5,4,2,5,1,4,1,3,1,3,1,Mildly Stressed
1302,31-40,female,Cyber Security,contract,11-15,hybrid,2,3,1,3,5,1,2,4,4,1,2,1,Healthy
1303,51-60,male,Other,contract,6-10,remote,1,3,1,2,4,4,5,5,1,4,1,5,Healthy
1304,31-40,male,Other,full-time,1-5,hybrid,5,4,3,5,5,3,3,4,4,1,5,1,Mildly Stressed
1305,21-30,female,IT Services,contract,less than 1 year,hybrid,3,5,5,4,4,3,4,1,1,3,4,5,Mildly Stressed
1306,41-50,male,IT Services,full-time,6-10,remote,1,3,3,1,1,2,5,4,3,5,3,4,Mildly Stressed
1307,under 20,female,Software development,part-time,less than 1 year,hybrid,4,4,2,1,4,4,2,2,2,1,2,2,Healthy
1308,41-50,male,Cyber Security,part-time,16-20,remote,5,4,2,3,2,2,1,2,3,5,3,2,Mildly Stressed
1309,51-60,male,Cyber Security,contract,11-15,remote,4,1,1,1,3,2,3,5,2,1,5,5,Healthy
1310,under 20,male,Other,full-time,16-20,hybrid,4,3,4,4,3,2,2,1,5,2,2,1,Mildly Stressed
1311,51-60,male,Software development,part-time,1-5,Office-based,5,5,2,2,2,2,4,5,1,2,4,2,Healthy
1312,21-30,female,Cyber Security,full-time,16-20,hybrid,5,3,2,4,4,1,3,5,5,5,1,3,Mildly Stressed
1313,under 20,female,Software development,full-time,less than 1 year,Office-based,4,3,3,3,2,2,5,1,2,2,5,1,Highly Stressed
1314,51-60,male,Software development,part-time,16-20,Office-based,3,3,3,3,5,3,3,3,1,2,2,5,Healthy
1315,21-30,male,Other,full-time,less than 1 year,hybrid,5,4,2,1,4,2,5,3,1,3,1,3,Mildly Stressed
1316,41-50,female,Software development,part-time,1-5,Office-based,1,2,1,4,2,1,2,4,5,1,2,5,Healthy
1317,21-30,male,IT Services,part-time,16-20,remote,2,2,3,2,5,5,1,3,1,2,5,1,Mildly Stressed
1318,31-40,female,IT Services,part-time,11-15,remote,3,1,2,4,5,5,3,2,2,5,2,4,Mildly Stressed
1319,21-30,female,Hardware engineering,full-time,11-15,Office-based,5,3,4,2,4,5,1,5,2,3,4,4,Mildly Stressed
1320,21-30,female,Other,part-time,11-15,remote,5,2,3,2,1,4,1,4,5,2,2,4,Mildly Stressed
1321,31-40,male,Hardware engineering,full-time,16-20,hybrid,3,1,2,4,1,3,3,5,3,5,5,1,Highly Stressed
1322,51-60,female,IT Services,part-time,16-20,remote,2,4,5,5,5,1,3,1,2,1,2,1,Healthy
1323,51-60,male,Hardware engineering,part-time,16-20,Office-based,4,3,3,4,1,5,1,3,2,2,1,3,Mildly Stressed
1324,21-30,female,Other,contract,less than 1 year,hybrid,1,5,5,2,5,1,4,1,1,5,1,1,Mildly Stressed
1325,31-40,male,Other,contract,1-5,remote,5,4,3,3,1,1,4,4,1,5,3,1,Mildly Stressed
1326,31-40,male,Software development,contract,11-15,hybrid,2,1,3,3,5,4,3,2,2,4,3,3,Mildly Stressed
1327,41-50,male,Cyber Security,full-time,less than 1 year,Office-based,1,4,5,1,5,5,1,3,5,5,4,3,Mildly Stressed
1328,51-60,female,Software development,full-time,11-15,remote,3,5,1,3,5,2,1,1,3,4,1,5,Healthy
1329,under 20,female,Other,part-time,less than 1 year,hybrid,5,4,2,5,5,1,2,3,1,1,3,2,Healthy
1330,51-60,male,IT Services,part-time,16-20,hybrid,4,1,1,2,3,5,1,5,1,1,2,2,Healthy
1331,51-60,male,IT Services,part-time,11-15,remote,3,5,1,4,1,1,4,2,3,3,4,5,Healthy
1332,41-50,male,Software development,part-time,16-20,hybrid,5,5,2,4,5,4,2,3,1,4,5,4,Healthy
1333,under 20,female,Other,full-time,11-15,hybrid,2,4,4,5,2,4,4,2,5,5,3,1,Highly Stressed
1334,41-50,female,IT Services,part-time,6-10,Office-based,1,5,1,3,4,2,5,5,1,3,3,3,Healthy
1335,under 20,female,Other,part-time,less than 1 year,Office-based,1,4,1,2,2,4,3,5,1,3,1,3,Healthy
1336,21-30,female,IT Services,contract,6-10,Office-based,5,3,1,3,2,5,5,1,2,1,4,4,Highly Stressed
1337,under 20,male,Other,part-time,less than 1 year,Office-based,3,5,4,1,3,4,3,4,5,5,1,3,Mildly Stressed
1338,41-50,male,Hardware engineering,part-time,1-5,Office-based,4,4,3,3,1,2,4,1,5,4,1,4,Highly Stressed
1339,51-60,female,Other,part-time,11-15,Office-based,2,3,5,1,3,3,4,2,2,1,4,5,Mildly Stressed
1340,under 20,female,Other,full-time,1-5,remote,5,5,5,4,1,1,5,1,4,3,2,4,Highly Stressed
1341,under 20,male,Software development,contract,1-5,Office-based,2,3,4,2,5,1,3,3,3,2,3,2,Healthy
1342,31-40,female,Hardware engineering,part-time,less than 1 year,hybrid,1,5,1,1,3,5,3,1,5,3,1,4,Mildly Stressed
1343,51-60,female,Cyber Security,part-time,6-10,remote,4,1,5,3,4,2,2,4,4,2,3,5,Mildly Stressed
1344,21-30,female,Software development,contract,16-20,hybrid,2,1,4,3,1,2,1,4,3,1,4,4,Healthy
1345,41-50,female,Cyber Security,part-time,less than 1 year,Office-based,5,4,2,4,3,2,2,2,5,4,2,5,Mildly Stressed
1346,21-30,female,IT Services,full-time,16-20,Office-based,4,2,5,5,4,1,4,5,1,5,5,2,Mildly Stressed
1347,51-60,female,Cyber Security,part-time,1-5,hybrid,3,1,2,5,2,4,5,4,5,2,2,1,Highly Stressed
1348,under 20,male,Other,full-time,16-20,hybrid,5,2,1,3,5,1,3,2,3,5,4,5,Mildly Stressed
1349,under 20,female,Cyber Security,full-time,6-10,hybrid,2,3,5,5,5,1,2,4,4,1,2,1,Healthy
1350,51-60,female,Software development,part-time,less than 1 year,remote,4,3,4,2,2,1,5,4,1,1,5,5,Mildly Stressed
1351,under 20,male,Software development,contract,6-10,Office-based,5,2,3,5,3,4,5,5,3,1,1,4,Healthy
1352,under 20,male,Cyber Security,full-time,6-10,hybrid,4,4,5,2,2,3,1,3,3,4,2,1,Highly Stressed
1353,under 20,male,Software development,contract,less than 1 year,Office-based,4,5,5,3,4,5,3,2,5,2,4,5,Mildly Stressed
1354,41-50,female,Software development,part-time,6-10,hybrid,4,2,5,3,1,3,5,4,2,5,2,5,Highly Stressed
1355,41-50,male,Cyber Security,full-time,11-15,Office-based,2,2,5,3,3,3,3,4,2,3,5,1,Highly Stressed
1356,31-40,female,Hardware engineering,part-time,11-15,remote,5,2,4,4,1,1,2,1,1,1,4,5,Mildly Stressed
1357,21-30,female,Hardware engineering,contract,11-15,Office-based,1,2,4,5,2,3,5,3,3,5,2,1,Highly Stressed
1358,51-60,female,IT Services,part-time,16-20,hybrid,1,2,3,1,5,1,5,5,4,5,4,2,Mildly Stressed
1359,51-60,male,Software development,part-time,6-10,Office-based,2,4,4,1,1,1,2,2,1,4,5,3,Mildly Stressed
1360,51-60,male,Cyber Security,full-time,less than 1 year,remote,2,1,4,3,1,5,3,4,1,2,1,2,Mildly Stressed
1361,31-40,male,Software development,part-time,less than 1 year,remote,4,5,1,5,5,2,3,2,5,4,5,1,Mildly Stressed
1362,41-50,male,Other,part-time,16-20,Office-based,5,1,1,2,1,1,5,5,4,4,1,4,Mildly Stressed
1363,31-40,male,Software development,part-time,less than 1 year,hybrid,5,2,2,1,1,3,2,3,3,5,3,4,Highly Stressed
1364,51-60,female,Software development,full-time,11-15,remote,3,1,3,3,5,5,4,1,3,2,5,3,Highly Stressed
1365,21-30,female,Hardware engineering,contract,6-10,remote,3,4,1,1,5,3,3,3,3,2,1,1,Healthy
1366,under 20,female,Cyber Security,contract,less than 1 year,Office-based,1,3,3,1,2,2,4,1,1,2,3,5,Mildly Stressed
1367,41-50,female,Software development,part-time,less than 1 year,remote,3,1,3,1,2,4,5,2,5,1,3,2,Highly Stressed
1368,41-50,male,Hardware engineering,full-time,1-5,remote,3,5,5,3,1,2,4,3,1,2,3,2,Mildly Stressed
1369,31-40,male,IT Services,part-time,1-5,hybrid,1,4,3,3,3,5,4,3,2,5,4,3,Mildly Stressed
1370,41-50,female,Hardware engineering,contract,1-5,hybrid,1,3,5,4,2,2,3,3,2,1,5,3,Mildly Stressed
1371,51-60,male,Hardware engineering,full-time,6-10,hybrid,3,4,2,4,2,2,5,5,3,3,5,3,Mildly Stressed
1372,51-60,male,Hardware engineering,contract,11-15,Office-based,5,2,2,4,3,5,4,2,5,4,5,3,Highly Stressed
1373,31-40,female,Software development,contract,11-15,remote,3,3,2,1,3,5,3,1,3,2,5,3,Highly Stressed
1374,51-60,female,Software development,full-time,11-15,Office-based,4,5,5,5,5,3,4,3,3,3,4,3,Mildly Stressed
1375,21-30,male,IT Services,full-time,6-10,remote,4,3,5,3,2,1,3,2,1,2,5,5,Mildly Stressed
1376,31-40,male,Other,part-time,6-10,remote,4,5,2,4,4,4,5,5,3,4,1,5,Healthy
1377,21-30,female,Other,part-time,1-5,remote,2,2,5,5,4,4,2,5,3,5,3,2,Mildly Stressed
1378,under 20,female,Other,contract,less than 1 year,hybrid,4,5,4,4,1,4,3,2,5,5,4,2,Burned out
1379,21-30,female,IT Services,full-time,16-20,Office-based,5,4,4,4,2,2,3,1,5,4,4,3,Highly Stressed
1380,under 20,male,Other,full-time,16-20,Office-based,2,1,5,5,4,5,4,2,5,3,5,2,Highly Stressed
1381,under 20,female,Other,part-time,less than 1 year,remote,2,4,5,4,2,5,5,2,3,1,3,3,Mildly Stressed
1382,21-30,female,Hardware engineering,contract,1-5,Office-based,4,4,1,1,2,5,1,4,5,1,1,5,Healthy
1383,31-40,male,Software development,contract,less than 1 year,hybrid,3,3,1,1,4,1,1,5,5,2,3,4,Healthy
1384,51-60,male,Software development,part-time,less than 1 year,Office-based,1,2,3,1,2,5,2,1,4,4,2,5,Highly Stressed
1385,51-60,male,Hardware engineering,full-time,16-20,remote,3,1,3,2,3,5,5,4,4,4,3,1,Highly Stressed
1386,under 20,male,Hardware engineering,part-time,1-5,hybrid,3,5,3,4,1,2,3,2,2,1,1,5,Healthy
1387,under 20,male,Hardware engineering,part-time,6-10,hybrid,2,3,2,2,5,3,1,5,1,3,1,1,Healthy
1388,31-40,female,Software development,part-time,16-20,remote,2,2,4,3,4,4,2,4,1,4,1,2,Healthy
1389,41-50,female,Other,part-time,6-10,Office-based,2,1,2,5,5,2,5,4,5,5,4,5,Mildly Stressed
1390,21-30,male,Hardware engineering,full-time,1-5,remote,5,4,5,3,1,2,2,1,2,5,4,4,Highly Stressed
1391,under 20,male,IT Services,part-time,less than 1 year,Office-based,5,2,1,2,3,2,1,2,2,4,2,5,Healthy
1392,51-60,male,Hardware engineering,full-time,11-15,Office-based,1,2,5,1,3,4,4,1,4,3,3,5,Highly Stressed
1393,31-40,male,Cyber Security,part-time,11-15,hybrid,2,2,5,4,3,2,4,4,2,5,5,5,Mildly Stressed
1394,21-30,male,Hardware engineering,contract,1-5,remote,4,4,1,4,3,3,5,4,3,3,2,3,Healthy
1395,31-40,female,Software development,full-time,11-15,hybrid,2,5,5,1,4,5,2,1,5,1,5,5,Mildly Stressed
1396,21-30,female,Hardware engineering,contract,6-10,remote,5,3,3,4,4,3,3,4,3,2,5,5,Mildly Stressed
1397,21-30,female,Cyber Security,part-time,11-15,remote,2,5,1,5,2,5,1,3,1,1,2,4,Healthy
1398,under 20,female,IT Services,part-time,1-5,hybrid,5,1,5,5,2,5,4,5,4,2,3,1,Highly Stressed
1399,31-40,male,Other,part-time,1-5,remote,2,3,3,5,1,2,4,2,3,5,5,1,Highly Stressed
1400,31-40,female,Hardware engineering,full-time,6-10,remote,4,1,3,3,2,2,2,5,5,2,4,4,Mildly Stressed
1401,51-60,male,Cyber Security,contract,11-15,Office-based,1,4,4,1,1,4,4,2,3,2,4,2,Highly Stressed
1402,51-60,male,Cyber Security,full-time,11-15,remote,4,5,3,5,1,1,2,4,3,4,2,5,Healthy
1403,under 20,male,IT Services,full-time,less than 1 year,remote,5,2,2,2,1,3,1,1,2,2,5,2,Highly Stressed
1404,under 20,female,Software development,part-time,16-20,hybrid,3,3,1,5,3,4,2,1,4,4,2,4,Mildly Stressed
1405,41-50,male,Hardware engineering,contract,1-5,hybrid,4,2,1,3,5,4,4,4,1,2,4,2,Mildly Stressed
1406,51-60,female,Cyber Security,part-time,less than 1 year,remote,2,1,1,2,5,3,2,2,5,4,2,1,Mildly Stressed
1407,21-30,female,IT Services,full-time,1-5,Office-based,1,2,5,1,4,3,4,4,5,5,5,3,Highly Stressed
1408,31-40,male,Other,part-time,less than 1 year,Office-based,2,2,5,1,1,5,5,2,1,5,5,2,Burned Out
1409,under 20,male,Cyber Security,contract,16-20,hybrid,2,4,2,5,3,1,4,4,5,2,4,3,Healthy
1410,31-40,male,IT Services,part-time,less than 1 year,remote,4,4,3,2,2,2,4,4,2,3,1,2,Mildly Stressed
1411,31-40,female,Software development,contract,1-5,remote,1,5,5,2,2,1,4,4,3,5,1,4,Healthy
1412,41-50,male,Software development,contract,11-15,Office-based,3,1,3,5,4,1,5,1,2,1,3,3,Mildly Stressed
1413,51-60,female,Cyber Security,part-time,1-5,Office-based,2,4,3,5,4,2,3,2,2,1,4,2,Healthy
1414,under 20,male,Cyber Security,full-time,6-10,Office-based,1,4,5,4,1,1,4,4,2,4,3,4,Healthy
1415,31-40,male,Hardware engineering,part-time,6-10,hybrid,3,5,5,4,1,4,3,5,1,3,4,1,Mildly Stressed
1416,under 20,female,IT Services,full-time,6-10,remote,2,3,2,5,2,4,1,5,4,4,5,5,Healthy
1417,21-30,female,Cyber Security,full-time,6-10,hybrid,1,5,4,3,2,2,2,1,1,2,4,4,Healthy
1418,41-50,female,Hardware engineering,part-time,16-20,remote,4,2,1,4,2,2,3,3,1,5,2,4,Mildly Stressed
1419,21-30,female,Hardware engineering,full-time,11-15,hybrid,2,2,5,5,2,3,1,1,2,3,3,1,Mildly Stressed
1420,under 20,female,Cyber Security,full-time,11-15,remote,2,4,5,2,5,3,2,3,4,4,4,3,Mildly Stressed
1421,under 20,female,Software development,part-time,1-5,Office-based,1,4,3,4,1,1,4,1,1,4,3,2,Mildly Stressed
1422,51-60,male,IT Services,part-time,less than 1 year,Office-based,2,5,4,3,1,1,4,5,4,1,4,3,Healthy
1423,31-40,male,IT Services,part-time,1-5,Office-based,3,5,5,1,2,2,4,4,2,2,1,4,Healthy
1424,31-40,female,Software development,full-time,1-5,hybrid,2,1,4,2,3,1,5,2,1,4,3,2,Highly Stressed
1425,21-30,male,Cyber Security,contract,1-5,Office-based,5,2,1,3,2,5,5,4,4,1,5,5,Highly Stressed
1426,41-50,female,IT Services,full-time,1-5,remote,3,5,3,3,4,4,5,5,5,3,5,5,Mildly Stressed
1427,31-40,male,Cyber Security,contract,11-15,hybrid,1,3,2,3,3,1,5,2,1,4,4,2,Mildly Stressed
1428,51-60,male,Cyber Security,part-time,less than 1 year,remote,3,1,1,2,4,1,1,3,1,1,5,4,Healthy
1429,21-30,female,Hardware engineering,contract,1-5,hybrid,5,5,4,3,3,3,1,3,1,2,5,1,Mildly Stressed
1430,21-30,female,Software development,part-time,11-15,remote,5,4,4,1,4,5,4,5,4,5,3,3,Highly Stressed
1431,51-60,female,Cyber Security,part-time,1-5,remote,2,5,1,4,2,1,2,2,3,3,4,3,Healthy
1432,41-50,male,Other,contract,6-10,hybrid,2,4,4,2,2,4,5,4,1,4,3,1,Highly Stressed
1433,51-60,female,Software development,part-time,1-5,hybrid,4,4,2,3,3,1,2,5,5,1,4,1,Mildly Stressed
1434,41-50,male,IT Services,contract,1-5,Office-based,3,2,2,5,4,2,1,3,5,4,5,5,Healthy
1435,51-60,female,Hardware engineering,part-time,16-20,Office-based,4,2,4,4,5,5,5,5,2,5,4,1,Highly Stressed
1436,51-60,male,IT Services,full-time,6-10,remote,5,5,4,2,3,1,1,4,3,4,4,2,Mildly Stressed
1437,under 20,male,IT Services,full-time,less than 1 year,remote,2,5,2,5,3,5,1,1,3,4,2,5,Healthy
1438,21-30,female,Software development,part-time,1-5,remote,2,3,4,5,1,1,3,1,4,1,4,4,Mildly Stressed
1439,51-60,male,IT Services,part-time,less than 1 year,hybrid,2,1,5,3,3,4,1,4,2,5,2,5,Mildly Stressed
1440,51-60,male,Cyber Security,contract,6-10,hybrid,1,1,3,2,5,4,4,2,4,3,3,5,Mildly Stressed
1441,31-40,female,IT Services,full-time,1-5,Office-based,5,5,5,3,2,5,1,5,2,1,2,3,Healthy
1442,21-30,male,Hardware engineering,contract,16-20,remote,2,2,4,1,4,3,5,4,3,5,3,1,Highly Stressed
1443,31-40,female,Hardware engineering,part-time,11-15,Office-based,5,3,4,5,1,3,4,1,4,5,4,2,Burned Out
1444,21-30,female,Other,part-time,16-20,hybrid,2,1,3,1,4,2,1,3,2,4,3,1,Mildly Stressed
1445,31-40,female,Hardware engineering,contract,16-20,hybrid,3,5,4,3,2,3,4,4,3,2,5,3,Mildly Stressed
1446,51-60,female,IT Services,part-time,11-15,hybrid,5,2,3,4,3,5,1,4,3,2,4,1,Mildly Stressed
1447,51-60,male,Hardware engineering,full-time,11-15,Office-based,4,2,2,5,5,3,4,4,1,3,2,2,Healthy
1448,under 20,male,Software development,contract,11-15,hybrid,1,2,3,4,1,2,2,1,4,4,1,1,Mildly Stressed
1449,31-40,male,Hardware engineering,full-time,1-5,remote,4,4,3,2,5,1,3,1,1,2,4,3,Healthy
1450,41-50,female,Cyber Security,full-time,less than 1 year,Office-based,5,2,5,5,5,3,4,4,3,1,5,2,Highly Stressed
1451,under 20,male,Software development,full-time,less than 1 year,hybrid,2,5,4,1,5,5,5,4,4,3,3,1,Highly Stressed
1452,31-40,male,Other,contract,11-15,Office-based,5,3,2,4,5,5,3,2,4,4,2,3,Highly Stressed
1453,31-40,female,Cyber Security,part-time,16-20,Office-based,1,5,1,2,2,2,3,3,5,1,2,3,Healthy
1454,under 20,female,IT Services,full-time,6-10,hybrid,5,2,3,5,5,2,1,5,2,2,5,5,Healthy
1455,51-60,male,IT Services,full-time,11-15,hybrid,2,3,1,2,5,4,4,5,5,2,5,2,Mildly Stressed
1456,31-40,female,IT Services,full-time,16-20,Office-based,4,1,4,1,2,4,3,5,5,2,4,2,Highly Stressed
1457,51-60,female,Cyber Security,part-time,16-20,Office-based,3,1,3,5,4,4,5,1,3,2,1,1,Mildly Stressed
1458,under 20,female,Cyber Security,part-time,1-5,hybrid,4,5,1,2,2,1,5,1,2,5,1,5,Mildly Stressed
1459,51-60,female,Cyber Security,contract,1-5,remote,2,3,5,3,3,5,5,2,5,3,3,2,Highly Stressed
